date,forecast,lower_bound,upper_bound,is_forecast,historical_end
2024-03-13,3.492407974140917,2.167854266532133,4.795745578506825,False,False
2024-03-14,3.8796804087969345,2.527365476389154,5.161861231292428,False,False
2024-03-15,3.615510118599853,2.3496240661768946,4.920561193670301,False,False
2024-03-16,7.0410282034615985,5.710303384712006,8.445066836968302,False,False
2024-03-17,6.544438133756615,5.352767190111934,7.806220385906475,False,False
2024-03-18,3.6462627298508443,2.2856228776057703,5.008508723201205,False,False
2024-03-19,4.289415466142172,2.970601928116308,5.603073466697698,False,False
2024-03-20,3.5264916522413485,2.120500444327127,4.881999127644523,False,False
2024-03-21,3.917490904077198,2.5721678331530593,5.204972063688014,False,False
2024-03-22,3.6506970802948113,2.4188823244028237,4.885543570568859,False,False
2024-03-23,7.1094579423293425,5.7948992883197326,8.397907343972115,False,False
2024-03-24,6.607953471879789,5.32855287042764,7.86911773721601,False,False
